"words","freq"
"alqaeda",1
"alqaida",13
"already",78
"als",1
"also",48
"alter",2
"altered",2
"alternative",6
"alternatives",2
"although",5
"altogether",2
"aluminum",1
"alvarez",1
"alwaleed",1
"always",23
"amajority",1
"amanda",2
"amash",2
"amassing",1
"amazing",6
"amazon",1
"ambassador",6
"amber",1
"ambitions",2
"ambitious",1
"amend",2
"amended",1
"amending",1
"amendment",68
"amendmentban",1
"amendments",13
"amenities",1
"america",187
"american",197
"americanmade",1
"americans",226
"americanscan",1
"americanscant",1
"americanschools",1
"americanstatesman",1
"americanstheyre",1
"americas",28
"amid",1
"amiddleclass",1
"amidst",1
"ammo",1
"ammonia",1
"ammunition",7
"amnesty",27
"amniocentesis",1
"among",79
"amongst",3
"amount",39
"amounted",2
"amounting",1
"amounts",8
"ample",3
"amputee",1
"amtrak",4
"amtraks",2
"analysis",7
"analysts",5
"analyzed",1
"ancestors",1
"anchor",4
"anchors",1
"ancient",1
"anderson",2
"andrew",1
"andropov",1
"andrubio",1
"andso",1
"andwas",1
"andy",1
"aneducational",1
"angel",2
"angeles",7
"angina",1
"angle",4
"anglers",1
"anglos",1
"angry",3
"anheuserbusch",1
"anhourproposal",1
"anight",2
"animal",5
"animals",7
"animmigrant",1
"ankledeep",1
"ann",7
"annexation",2
"annies",1
"anniversary",4
"announced",17
"announcement",4
"announces",1
"announcing",1
"annual",28
"annually",20
"annuity",1
"anomalies",1
"anonymous",2
"another",34
"answer",6
"answered",2
"answers",3
"anthem",1
"anthemcan",1
"anthony",2
"anthropology",1
"antiabortion",2
"antiamerican",1
"antibiotics",1
"antibusiness",2
"antichoice",2
"antichrist",2
"antichristian",1
"anticipating",1
"anticipation",1
"anticompetitive",1
"antideportation",1
"antidepressant",1
"antiequality",1
"antigov",1
"antiillegalimmigrant",1
"antiisis",1
"antiisrael",1
"antilikud",1
"antinetanyahu",1
"antiobesity",1
"antipoverty",1
"antisemitic",1
"antitax",1
"antitrust",1
"antiwomens",1
"antonin",2
"antonio",12
"antoniorooted",1
"ants",5
"anwar",1
"anwr",1
"anybody",21
"anybodys",4
"anymore",4
"anyone",22
"anyonebut",1
"anything",27
"anytime",5
"anyway",2
"anywhere",17
"apart",1
"apartheid",2
"apartment",2
"apear",1
"apex",1
"aphotograph",1
"apiece",1
"aplus",1
"apocalypse",1
"apologies",1
"apologize",3
"apologizing",2
"apology",4
"apostle",1
"appalachian",1
"appalled",1
"apparatus",1
"apparent",1
"apparently",8
"appealing",1
"appeals",9
"appear",2
"appearance",3
"appearances",2
"appeared",7
"appears",4
"appellate",1
"applauded",1
"apple",4
"apples",2
"applicant",1
"applicants",3
"application",1
"applications",2
"applied",5
"apply",11
"applying",3
"appoint",3
"appointed",13
"appointee",2
"appointees",3
"appointment",1
"appointments",3
"appraisal",1
"appraisers",1
"appraises",1
"apprehend",1
"apprehended",6
"apprehensions",2
"approach",6
"approaching",4
"appropriate",2
"appropriated",3
"appropriately",3
"appropriation",1
"appropriations",6
"approval",15
"approve",10
"approved",20
"approves",3
"approving",1
"approximately",24
"april",10
"aprovision",1
"aquarium",1
"arab",8
"arabia",20
"arabic",2
"arbitration",2
"archdiocese",1
"archibong",1
"architect",2
"architects",1
"arctic",2
"area",20
"areas",10
"areaswho",1
"aredisproportionately",1
"areindividuals",1
"arena",5
"arenas",1
"arent",19
"areon",1
"areunwilling",1
"argued",5
"arguing",1
"argument",3
"arguments",1
"arid",1
"arising",1
"ariz",1
"arizona",40
"arizonans",1
"arizonas",3
"arkansan",1
"arkansas",8
"arkansasamendment",1
"arlen",2
"arm",5
"armed",7
"armies",2
"armor",2
"armored",1
"arms",11
"army",15
"aromatherapy",1
"aronberg",1
"aronbergs",1
"around",44
"array",2
"arrest",8
"arrested",12
"arrests",5
"arrived",1
"arriving",2
"arrow",1
"arsenal",2
"art",5
"arthritis",1
"articles",2
"artificial",1
"artificially",1
"artists",1
"arts",3
"arvada",1
"aryan",1
"asbig",1
"ashbritt",1
"ashtiani",1
"asia",2
"asianamerican",2
"aside",2
"ask",16
"asked",39
"askedthedivision",1
"asking",4
"asks",3
"asleep",1
"aspect",1
"aspects",3
"aspirin",2
"assad",5
"assassinated",1
"assassination",3
"assault",20
"assaulted",3
"assaulting",1
"assaults",3
"assemblies",2
"assembly",18
"assertion",1
"assertions",1
"assessed",1
"assessment",2
"assessments",2
"assets",5
"assist",1
"assistance",13
"assistant",1
"assisted",2
"assisting",2
"assists",1
"associate",2
"associated",12
"association",7
"asst",1
"assumption",2
"assure",4
"asthma",3
"astonishing",1
"astronauts",1
"astronomical",2
"asylum",1
"atand",1
"ate",1
"atf",3
"atheists",3
"athletic",1
"atlanta",52
"atlantaarea",1
"atlantans",1
"atlantas",4
"atlantic",4
"atmospheric",1
"atms",2
"atomic",1
"attached",2
"attack",31
"attacked",14
"attackers",2
"attacking",5
"attacks",30
"attempt",6
"attempted",9
"attempting",2
"attempts",5
"attend",13
"attendance",5
"attended",5
"attending",1
"attention",4
"attitude",2
"attitudes",1
"attorney",37
"attorneys",5
"attract",1
"attracted",3
"attracting",2
"attributed",4
"attributes",1
"attrition",2
"atvs",1
"atwaters",2
"audience",2
"audiences",1
"audit",7
"auditing",1
"auditor",4
"audits",2
"aug",1
"august",3
"aunt",2
"auschwitz",1
"ausleys",1
"austin",66
"austinincluding",1
"austinites",3
"austins",10
"australia",2
"australias",1
"author",1
"authored",6
"authorities",4
"authority",23
"authorize",6
"authorized",4
"authorizes",1
"authorizing",4
"autism",3
"auto",28
"autocrats",1
"automaker",1
"automated",1
"automatic",11
"automatically",4
"automobile",6
"automotive",1
"availability",1
"available",14
"avengers",1
"avenue",1
"average",204
"averageand",1
"averaged",4
"averagein",1
"averages",1
"averaging",1
"avert",1
"avg",1
"avid",2
"avoid",12
"avoidance",1
"avoided",1
"avowed",1
"await",1
"awaiting",1
"award",3
"awarded",3
"awardwinning",1
"away",82
"awho",1
"axelrod",1
"ayers",3
"ayerss",1
"ayman",1
"ayotte",8
"babies",22
"baboons",1
"baby",19
"babylonians",1
"bachelor",1
"bachelors",1
"bachmann",4
"bachus",1
"back",100
"backdoor",1
"backed",12
"background",51
"backing",2
"backlog",6
"backroom",2
"backrooms",1
"backs",3
"backwards",2
"backyard",1
"bad",18
"bader",1
"badger",1
"badgercare",1
"badly",3
"bag",3
"baggage",1
"baghdadi",1
"bags",3
"bahamas",1
"bail",4
"bailed",2
"bailey",6
"bailout",18
"bailouts",7
"bain",5
"baiting",1
"baker",2
"bakers",1
"bakr",1
"balance",27
"balanced",25
"balancedbudget",2
"balancing",3
"bald",1
"baldwin",15
"balfour",1
"ballast",1
"ballesteros",1
"ballooned",2
"balloons",1
"ballot",25
"ballots",6
"ballparks",1
"balls",1
"baltimore",3
"ban",56
"banana",1
"bane",1
"banfield",1
"banged",1
"bangladesh",1
"bank",29
"banker",1
"banking",5
"bankrolling",2
"bankrupt",11
"bankruptcies",3
"bankruptcy",12
"bankrupting",2
"banks",26
"banned",13
"banning",9
"bans",9
"bar",7
"barack",353
"barackobama",7
"baragwanath",1
"barbara",10
"barbaric",1
"barbecue",2
"barber",1
"barehanded",1
"barely",9
"barelytrue",3
"bargainedfor",1
"bargaining",24
"barking",1
"barnes",6
"barnett",1
"barr",2
"barracks",1
"barred",5
"barrel",7
"barrels",5
"barrett",16
"barretts",3
"barrier",1
"barriers",2
"barring",1
"barrow",6
"barrows",1
"barry",2
"bars",5
"barton",2
"barware",1
"base",8
"baseball",5
"based",14
"bases",3
"bashar",2
"bashedsen",1
"basic",13
"basically",21
"basics",1
"basis",8
"basketball",4
"basra",1
"bass",3
"bastrop",1
"bath",1
"bathroom",5
"bathrooms",3
"bathtubs",1
"batman",1
"bats",1
"battered",1
"batteries",1
"batterypowered",1
"batting",1
"battle",8
"battlefield",5
"battlefields",1
"battleground",2
"baucus",5
"bay",12
"bbb",1
"bbq",1
"beach",4
"beaches",4
"beachs",2
"bean",2
"bear",6
"beard",1
"bearing",2
"bears",4
"beat",7
"beaten",3
"beating",4
"beaumont",1
"beavers",1
"became",44
"beck",1
"beckhams",2
"become",27
"becomes",4
"becoming",12
"bed",3
"bedroom",1
"beds",2
"beef",5
"beenon",1
"beer",11
"began",19
"begged",1
"begging",3
"begich",5
"begin",11
"beginning",15
"begins",1
"begun",3
"behalf",5
"behavior",4
"beheaded",2
"behind",35
"behindcloseddoors",1
"beings",1
"beirut",1
"belgiums",1
"belief",2
"beliefs",8
"believe",41
"believed",3
"believeinsocialism",1
"believes",14
"bell",3
"belly",1
"belong",1
"belonged",3
"belongs",3
"beloved",1
"beltline",1
"belts",2
"ben",6
"benacquistos",1
"bench",4
"benchmarks",1
"bend",1
"bending",1
"beneath",1
"benediction",1
"beneficiaries",3
"beneficiary",1
"benefit",21
"benefiting",1
"benefits",70
"benefitted",2
"benghazi",26
"benjamin",5
"bennet",5
"bennett",1
"benson",1
"bergdahl",4
"berkeley",1
"berlin",1
"bermuda",3
"bernanke",2
"bernardino",3
"bernice",1
"bernie",33
"bernies",2
"berry",1
"bertha",1
"beruff",1
"beside",1
"besides",1
"best",44
"bestknown",1
"bet",2
"betatested",1
"better",43
"betterpaying",1
"betterway",1
"betty",7
"beverage",3
"beverly",1
"bevin",1
"bewildered",1
"beyonce",1
"beyond",5
"bias",1
"bible",8
"bibles",1
"bicycle",5
"bicycles",3
"bicyclist",1
"bid",2
"bidder",2
"bidding",2
"biden",14
"bidens",2
"bids",1
"biennium",3
"big",62
"bigger",13
"biggest",39
"biggovernment",2
"bigot",1
"bike",4
"bikes",1
"bilingual",1
"bill",394
"billed",1
"billion",396
"billionaire",4
"billionaires",8
"billiondollar",5
"billions",26
"bills",65
"bin",10
"binational",1
"binding",1
"binge",1
"biography",1
"biotech",1
"bioweapon",1
"bioweapons",1
"bipartisan",36
"bird",2
"birds",1
"birmingham",2
"birth",29
"birthcontrol",1
"birther",5
"birthers",1
"birthright",4
"births",4
"bisexual",2
"bishop",2
"bishops",1
"bit",5
"bite",1
"bizarrely",1
"black",50
"blackberry",2
"blackouts",1
"blacks",14
"blacksburg",1
"blackstone",2
"blackwells",1
"blackwhite",1
"blades",1
"blair",1
"blake",1
"blame",3
"blamed",3
"blames",1
"blaming",2
"blank",3
"blanket",1
"blankfein",1
"blasio",1
"blaspheming",1
"blatant",1
"blatantly",1
"bled",1
"blew",1
"blind",3
"blindness",1
"blitzer",1
"bloated",2
"bloc",1
"block",12
"blocked",11
"blocking",5
"blocks",3
"blog",1
"blogger",1
"bloggers",1
"blondwomen",1
"blood",2
"bloomberg",2
"bloombergstyle",1
"blow",4
"blowing",1
"blown",1
"blue",5
"blueberries",1
"blueberry",1
"blueprint",2
"bluest",1
"blumenauer",1
"blumenthal",1
"blunt",3
"bluntly",1
"blunts",1
"bmv",1
"board",61
"boarding",1
"boards",4
"boardwalk",2
"boats",1
"bob",18
"bobby",2
"boccieri",2
"boccieris",1
"bodies",2
"body",15
"boehner",5
"boeing",2
"bogged",1
"bogus",1
"boldly",1
"bolted",1
"bomb",3
"bombed",2
"bomber",2
"bombers",1
"bombing",7
"bombings",1
"bombs",1
"bonamici",2
"bond",14
"bondi",1
"bonding",2
"bonditold",1
"bonds",9
"bonus",2
"bonuses",9
"booed",1
"book",15
"booker",3
"bookers",1
"books",8
"bookthe",1
"boomers",3
"boon",2
"boost",2
"boosted",2
"boosting",1
"boosts",1
"boostteacherpension",1
"boot",1
"boots",4
"boozman",1
"bordentown",1
"border",91
"borderlong",1
"borders",12
"bores",1
"born",39
"bornagain",1
"borrow",7
"borrowed",6
"borrowers",1
"borrowing",12
"borrows",4
"bosnia",2
"boss",3
"bosses",2
"boston",6
"boswell",1
"botched",2
"bottle",1
"bottles",1
"bottom",27
"boucher",1
"bought",5
"bound",1
"boundaries",2
"bounty",1
"bow",1
"bowe",4
"bowl",10
"boxer",5
"boxers",1
"boxes",2
"boy",1
"boycott",1
"boycotts",1
"boyd",1
"boyfriends",2
"boys",6
"bps",2
"bracelets",1
"bracket",2
"brackets",3
"brad",3
"bradley",4
"bradleys",1
"brady",5
"bradys",1
"bragged",3
"bragging",1
"brags",3
"brain",4
"brainwashing",1
"braking",1
"braley",6
"branch",6
"branchesof",1
"brand",3
"branded",2
"brandes",1
"brandnew",1
"brat",4
"brave",1
"bravery",1
"braves",4
"brazil",5
"brazilian",2
"bread",2
"break",17
"breakfasts",2
"breaking",2
"breaks",35
"breakup",1
"breast",3
"breath",1
"breathe",1
"breed",1
"brenda",1
"brendan",2
"brennan",2
"breweries",1
"brewers",1
"brewery",1
"brewing",2
"brewpubs",2
"brexit",1
"brian",3
"bribe",1
"bribes",1
"bridge",26
"bridged",1
"bridges",9
"briefing",1
"briefings",1
"bright",3
"brilliant",1
"bring",42
"bringing",8
"brings",2
"brissette",1
"britain",6
"britains",2
"british",1
"britishand",1
"brits",1
"britsare",1
"broad",2
"broadband",2
"broadbased",1
"broadcast",1
"broader",1
"brochures",1
"brock",1
"broke",24
"broken",9
"broker",2
"brookhaven",1
"brookhavens",1
"brooks",1
"broome",1
"brother",7
"brotherhood",4
"brothers",13
"brought",24
"broward",12
"brown",41
"browning",1
"browns",8
"brrag",1
"bruce",13
"brunner",2
"brush",1
"brutal",2
"bruun",3
"bryson",1
"btw",1
"bubble",1
"buchanan",2
"buck",3
"bucket",2
"buckhorn",1
"bucks",11
"buckyballs",1
"bucyrus",1
"buddhists",1
"buddies",2
"budged",3
"budget",333
"budgetamendment",1
"budgeted",1
"budgeting",2
"budgetrepair",3
"budgets",22
"budweiser",1
"buehler",1
"buffalo",2
"buffalos",1
"buffett",11
"build",37
"building",36
"buildings",3
"buildup",1
"built",20
"bulb",3
"bulbs",9
"bulgarians",1
"bulk",3
"bull",1
"bullets",6
"bullhorns",1
"bullion",1
"bulls",1
"bullying",2
"bumped",1
"bunch",6
"bunked",1
"buono",4
"burden",9
"burdened",1
"burdening",1
"burdensome",2
"bureau",16
"bureaucracy",4
"bureaucrat",5
"bureaucrats",17
"bureaus",1
"burger",2
"burgers",1
"burglary",1
"buried",1
"burke",10
"burkes",5
"burlington",1
"burma",1
"burn",3
"burners",1
"burning",1
"burns",1
"burnside",1
"burnt",1
"burr",5
"burris",2
"burst",1
"burton",1
"burying",1
"bus",7
"bused",1
"buses",5
"bush",155
"bushcheney",1
"bushera",4
"bushes",1
"bushs",21
"bushtax",1
"busiest",6
"business",94
"businesses",85
"businessfriendly",1
"businessincentive",1
"businessmen",1
"businesspeople",1
"busing",1
"bust",1
"busted",1
"busting",1
"busy",2
"butt",1
"butte",1
"butterandjelly",1
"butterflies",1
"button",1
"butts",1
"buy",64
"buyamerican",1
"buyback",1
"buybacks",1
"buyer",1
"buyers",2
"buying",5
"buzzerbeating",1
"bybilloreilly",1
"bypassed",1
"byrne",2
"cabbies",1
"cabin",1
"cabinet",8
"cadets",1
"cafe",1
"cafes",1
"cafeterias",2
"cage",1
"cagle",1
"cahoots",1
"cain",1
"cairo",2
"cakes",1
"calamity",1
"calculate",1
"calculated",2
"calculations",1
"calderon",1
"calendar",3
"caliber",2
"calif",1
"california",46
"californians",1
"californias",11
"call",25
"called",67
"calligraphers",1
"calling",5
"calls",19
"calm",1
"caltech",1
"cambodia",1
"camden",1
"came",74
"camera",6
"cameras",7
"camilo",1
"camp",3
"campaign",155
"campaigned",8
"campaignfinance",2
"campaigning",5
"campaigns",12
"campaignstyle",1
"campbell",2
"camper",1
"camps",5
"campus",6
"campuses",5
"can",196
"canada",14
"canadian",4
"canadianborn",1
"canadians",2
"canadianstyle",2
"canal",1
"canals",1
"cancel",2
"canceled",4
"canceling",1
"cancellation",1
"cancer",29
"cancers",1
"candidacy",5
"candidate",127
"candidatejason",1
"candidatemarilinda",1
"candidates",28
"candidatesbiographyjobaccomplishments",1
"candidateterri",1
"candy",1
"cannabis",2
"canned",1
"cannon",4
"cant",71
"cantero",1
"cantor",7
"cantors",2
"cap",14
"capabilities",1
"capability",4
"capable",1
"capacity",3
"capandtax",1
"capandtrade",16
"capita",30
"capital",27
"capitals",3
"capitol",18
"capped",2
"capps",1
"caprio",2
"caps",2
"capt",1
"captain",1
"capture",2
"captured",3
"captures",1
"capturing",1
"car",32
"carbon",16
"carcasses",1
"carcieri",3
"card",16
"cardiologists",1
"cards",2
"cardson",1
"care",505
"careand",1
"career",22
"careers",2
"careless",1
"carereform",1
"cargill",1
"cargo",2
"carl",2
"carlos",7
"carly",3
"carnahan",1
"carol",3
"carolina",33
"carolinas",4
"carolinians",1
"carpet",2
"carpools",1
"carried",6
"carrier",1
"carriers",5
"carries",3
"carroll",2
"carrolls",1
"carry",23
"carrying",8
"cars",23
"carsgov",1
"carson",1
"cartel",2
"cartels",4
"carter",10
"carters",2
"carts",1
"carved",1
"carveout",1
"case",27
"caseload",1
"cases",35
"casey",3
"cash",21
"cashed",3
"cashier",1
"cashing",1
"casino",6
"casinos",5
"cass",2
"cassidy",1
"cast",16
"castigated",1
"castile",1
"casting",2
"castle",2
"castor",1
"castro",3
"casualties",6
"cat",4
"catastrophic",2
"catch",3
"catches",1
"categorize",1
"category",2
"catfish",1
"cathedral",1
"catherine",4
"catholic",4
"catholics",2
"cathy",1
"cato",1
"cats",5
"cattle",2
"caucus",7
"caucuses",1
"caught",10
"causation",1
"cause",30
"caused",24
"causes",11
"causey",1
"causing",4
"causingclimate",1
"caution",1
"caves",1
"caviar",1
"cay",1
"cayman",2
"cbd",1
"cbo",6
"cdc",5
"cease",1
"ceasing",1
"cecile",1
"ceiling",18
"celebrate",2
"celebrated",2
"celebrates",2
"celebrations",1
"celebrities",2
"celebrity",1
"celilo",1
"cell",10
"cellphones",1
"cells",2
"cellular",1
"cemetery",1
"censor",1
"censored",1
"censure",1
"census",17
"censuscrimeeducationhealthcareimmigrationstatebudgettaxes",1
"cent",6
"center",20
"centerpacific",1
"centerpiece",2
"centers",11
"central",19
"centrifuges",1
"cents",45
"century",15
"ceo",18
"ceogoldman",1
"ceos",7
"ceremonies",2
"ceremony",2
"certain",15
"certainly",6
"certificate",4
"certificates",3
"certifications",1
"certified",1
"certify",1
"cervical",3
"cfl",2
"cfo",2
"chad",1
"chafee",4
"chafin",1
"chai",2
"chain",2
"chair",5
"chaired",3
"chairman",12
"chairmanship",2
"chairs",3
"chairwoman",2
"challenge",3
"challenged",1
"challenger",11
"challengers",1
"challenges",4
"challenging",1
"chamber",6
"chambers",3
"chambliss",3
"champion",4
"championed",2
"championship",2
"championships",2
"chance",11
"chancellor",1
"chances",5
"change",65
"changed",31
"changes",27
"changing",8
"channel",1
"chanting",1
"chapter",2
"chapters",1
"character",1
"characteristic",1
"characteristics",1
"charge",30
"charged",9
"charges",14
"charging",2
"charitable",6
"charities",1
"charity",5
"charles",3
"charleston",3
"charlie",37
"charlottesville",1
"chart",2
"charter",10
"charterschool",1
"chase",1
"chattanooga",2
"chatter",1
"chavez",2
"che",3
"cheap",4
"cheaper",4
"cheat",1
"cheated",1
"cheating",5
"cheats",1
"check",39
"checks",34
"checkups",1
"cheering",1
"cheerleaders",1
"cheerleading",1
"cheese",4
"cheesemakers",1
"cheetos",1
"chemical",7
"chemicals",2
"chemotherapy",1
"cheney",3
"cherokee",1
"chess",1
"chesterfield",2
"chet",1
"chevrolet",2
"chevron",2
"chi",1
"chicago",11
"chicken",3
"chickens",1
"chickfila",1
"chief",12
"chiefs",1
"child",57
"childbearing",1
"childcare",2
"childhood",9
"childless",3
"childonly",1
"children",121
"childrenhealthcarenewhampshire",1
"childrenpoverty",1
"childrens",11
"childs",3
"chile",1
"chiles",1
"china",83
"chinas",6
"chinese",18
"chip",1
"chips",1
"chm",1
"choice",17
"choices",5
"choose",11
"choosing",2
"choppers",1
"chores",1
"chose",9
"chosen",5
"chris",52
"chrisabele",1
"christ",2
"christian",17
"christianity",2
"christians",6
"christie",42
"christies",3
"christine",2
"christmas",14
"christopher",2
"chronic",2
"chronically",1
"chrysler",1
"chu",1
"chuck",6
"chunk",1
"church",10
"churches",3
"churns",1
"cia",5
"ciancis",1
"cicilline",15
"cigarette",4
"cigarettes",2
"cigars",1
"cincinnati",1
"circle",2
"circuit",3
"circulating",1
"circulators",1
"circumcision",1
"circumstance",1
"circumstances",4
"citation",3
"citations",2
"cited",4
"cites",1
"cities",44
"citing",2
"citizen",11
"citizens",64
"citizenship",27
"citrus",3
"city",185
"cityrun",1
"citys",9
"citywide",1
"ciudad",1
"civil",23
"civilian",6
"civilians",2
"civilized",2
"civilrightshomelandsecurityimmigrationpublicsafetytransportationworkers",1
"clackamas",6
"claim",16
"claimed",6
"claiming",2
"claims",24
"claimsthat",1
"clark",1
"clarke",3
"clarkston",1
"class",56
"classes",5
"classified",6
"classify",1
"classmate",2
"classroom",8
"classrooms",7
"clause",2
"clay",1
"clayton",2
"clean",14
"cleaner",1
"cleaners",1
"cleaning",1
"cleans",1
"cleansed",1
"cleanup",1
"cleanups",2
"clear",17
"cleared",1
"clearly",10
"clears",1
"clearwater",1
"clemencies",1
"clerk",2
"clerks",1
"cleveland",7
"click",1
"client",1
"clients",1
"cliff",5
"climate",41
"climatechanging",1
"climates",1
"climatic",1
"climb",1
"climbed",3
"climbing",2
"clinic",4
"clinics",6
"clinton",255
"clintoninsists",1
"clintons",34
"clintonsposition",1
"clip",1
"clippers",1
"clips",2
"clock",2
"close",41
"closed",19
"closeddoor",1
"closer",5
"closes",1
"closest",7
"closetothevestsecrets",1
"closing",11
"closings",1
"closure",1
"closures",1
"clothes",1
"clothing",5
"cloture",1
"cloud",1
"club",7
"clubbing",1
"clubs",5
"clunkers",6
"cnbc",2
"cnbcs",1
"cnn",4
"cnns",1
"coach",4
"coaches",1
"coal",21
"coalfired",3
"coalition",4
"coast",23
"coats",1
"coauthor",2
"cobb",4
"cocacola",1
"cocacolas",1
"cocaine",4
"cochair",1
"cochaired",1
"code",21
"codes",6
"coffee",1
"coffers",2
"coffman",4
"cofounder",2
"coggs",1
"cohen",2
"coils",1
"coin",1
"coincide",1
"coins",2
"cold",6
"coli",1
"collapse",3
"collapsed",4
"colleague",1
"colleagues",5
"collect",8
"collected",7
"collecting",6
"collectingsocial",1
"collection",3
"collections",1
"collective",22
"collectivebargaining",1
"collects",1
"college",110
"collegelevel",1
"colleges",16
"collegeshave",1
"collegewisconsin",1
"colonia",1
"color",7
"coloradans",1
"colorado",17
"columbia",5
"columbiahca",5
"columbus",2
"column",1
"columnist",2
"combat",8
"combatants",1
"combating",1
"combined",71
"come",70
